job_title,employer,city,province,min_salary,max_salary,avg_salary,sql,python,excel,tableau,power_bi
Senior Business Intelligence Analysts,Dayforce,Remote,Undef,83500.0,149300.0,116400.0,0,0,1,0,0
Senior Business Analysts,IG Wealth Management,Toronto,ON,30240.56,57200.0,43720.28,1,0,0,0,0
Senior Data Analysts,GFL Environmental,Vaughan,ON,69000.0,86000.0,77500.0,1,0,1,0,0
Senior Business Intelligence Analysts,Ramp Group,Surrey,BC,95680.0,95680.0,95680.0,0,0,0,0,0
Senior Business Analysts,Evolution Mining,Red Lake,ON,66000.0,84500.0,75250.0,0,0,0,0,0
Senior Business Analysts,Manulife,Toronto,ON,30240.56,57200.0,43720.28,0,0,0,0,0
Senior Business Intelligence Analysts,ErinoakKids Center for Treatment and Development,Mississauga,ON,68000.0,88300.0,78150.0,1,0,1,0,0
Senior Business Intelligence Analysts,MNP,Ottawa,ON,68000.0,88300.0,78150.0,0,0,1,0,0
Senior Supply Chain Data Analysts,City of Winnipeg,Winnipeg,MB,68500.0,87000.0,77750.0,0,0,1,0,0
Business Systems Analysts,TechVest Global Solutions Inc.,Toronto,ON,105000.0,105000.0,105000.0,0,0,0,0,0
Senior Supply Chain Data Analysts,Compest Solutions Inc,Toronto,ON,104000.0,120640.0,112320.0,1,1,0,0,0
Business and Technical Analysts,BC Public Service,Abbotsford,BC,76071.18,86658.48,81364.82999999999,0,0,0,0,0
Senior Supply Chain Data Analysts,Nordia,Laval,QC,68500.0,87000.0,77750.0,0,0,0,0,0
Senior Business Intelligence Analysts,RAMP Technology Group Inc.,Surrey,BC,95680.0,95680.0,95680.0,1,0,0,0,0
Business and Technical Analysts,FleetOptics Inc,Mississauga,ON,64123.59,86600.0,75361.795,0,0,1,0,0
Business and Marketing Analysts,University of Toronto,Toronto,ON,30240.56,75223.0,52731.78,0,0,0,0,0
Financial and Operational Analysts,Groupe Optimum Inc.,MontrÃƒÂ©al,QC,100000.0,100000.0,100000.0,0,0,1,0,0
Business Systems Analysts,Province of Nova Scotia,Halifax,NS,69000.1,84021.08,76510.59,0,0,0,0,0
Business Systems Analysts,Scotiabank,Toronto,ON,85816.8,91520.0,88668.4,1,0,1,0,0
Business and Marketing Analysts,Midland Transport,Dieppe,NB,65000.0,87000.0,76000.0,0,0,1,0,0
Senior Business Intelligence Analysts,Tolko Industries Ltd.,Vernon,BC,79500.0,106000.0,92750.0,1,0,0,0,0
Senior Supply Chain Data Analysts,Bombardier,Dorval,QC,68500.0,87000.0,77750.0,0,0,0,0,0
Senior Business Analysts,Teknaform Inc.,Bolton,ON,90000.0,110000.0,100000.0,0,0,1,0,0
Senior Business Analysts,Ivey Business School Foundation,London,ON,82800.0,103500.0,93150.0,1,0,0,0,0
Senior Business Intelligence Analysts,Global Excel Management,Sherbrooke,QC,68000.0,88300.0,78150.0,0,0,1,0,0
Business and Marketing Analysts,OMERS,Toronto,ON,65000.0,87000.0,76000.0,1,0,1,0,0
Senior Supply Chain Data Analysts,EPCOR,Edmonton,AB,107931.2,128814.4,118372.8,0,0,1,0,0
Business and Marketing Analysts,OLIVER Agency - North America,Toronto,ON,65000.0,87000.0,76000.0,1,1,1,1,0
Business and Marketing Analysts,Wipro Comnet Inc.,Brampton,ON,79040.0,79040.0,79040.0,0,0,0,0,0
Business and Marketing Analysts,ARYZE Developments Inc.,Victoria,BC,68000.0,85000.0,76500.0,0,0,1,0,0
Business Systems Analysts,AIR TRAIN FREIGHT SYSTEMS INC,Mississauga,ON,59072.0,59072.0,59072.0,0,0,0,0,0
Financial and Operational Analysts,Flair Airlines Ltd.,Vancouver,BC,50000.0,76458.0,63229.0,0,0,0,0,0
Business and Marketing Analysts,TC Energie,Calgary,AB,65000.0,87000.0,76000.0,0,0,0,0,0
Senior Business Analysts,Lululemon,Vancouver,BC,105800.0,138800.0,122300.0,1,1,0,0,0
Business Systems Analysts,STAR TECH INFOSYSTEMS LTD.,Calgary,AB,98176.0,98176.0,98176.0,0,0,0,0,0
Senior Supply Chain Data Analysts,"Acuren Inspection, Inc.",Edmonton,AB,68500.0,87000.0,77750.0,0,0,0,0,0
Senior Business Intelligence Analysts,Maggas Medical Inc.,North York,ON,50000.0,70000.0,60000.0,0,0,1,0,0
Senior Supply Chain Data Analysts,Collins Aerospace,Oakville,ON,68500.0,87000.0,77750.0,0,0,1,0,0
Business Systems Analysts,PressReader,Richmond,BC,70000.0,85000.0,77500.0,0,0,1,0,0
Senior Business Intelligence Analysts,TD Bank,Toronto,ON,68000.0,88300.0,78150.0,0,0,0,0,0
Senior Supply Chain Data Analysts,Magic Leap - Multiple Locations,Remote,Undef,68500.0,87000.0,77750.0,0,0,0,0,0
Financial and Operational Analysts,City of Richmond BC,Richmond,BC,83345.6,98404.8,90875.2,0,0,1,0,0
Senior Supply Chain Data Analysts,SAIT Polytechnic,Calgary,AB,65000.0,85000.0,75000.0,0,0,1,0,0
Systems and Data Analysts,FCM,Remote,Undef,87000.0,87000.0,87000.0,0,0,0,0,0
Senior Business Intelligence Analysts,The City of Vancouver,Vancouver,BC,87443.2,103272.0,95357.6,1,0,1,0,0
Business and Technical Analysts,BC Public Service,Burnaby,BC,69760.7,79322.69,74541.695,1,1,0,0,0
Senior Data Analysts,Fraser Health,Surrey,BC,79289.59999999999,113984.0,96636.8,1,1,0,1,0
Senior Data Analysts,TransLink,Metro Vancouver Regional District,BC,30240.56,57200.0,43720.28,0,0,0,0,0
Business Systems Analysts,Medavie Blue Cross,Remote,Undef,85816.8,91520.0,88668.4,1,0,0,0,0
Systems and Data Analysts,MacEwan University,Edmonton,AB,137280.0,180000.0,158640.0,1,0,0,0,0
Senior Business Intelligence Analysts,Novartis,MontrÃƒÂ©al,QC,68000.0,88300.0,78150.0,1,0,0,0,0
Senior Supply Chain Data Analysts,AGF Management Limited,Toronto,ON,30240.56,57200.0,43720.28,1,0,1,0,0
Senior Data Analysts,Nova Scotia School Boards (NSSB),Berwick,NS,46531.0,58164.0,52347.5,0,0,1,0,0
Senior Data Analysts,The Mustard Seed Society,Calgary,AB,69000.0,86000.0,77500.0,1,1,1,1,0
Systems and Data Analysts,City of Edmonton,Edmonton,AB,81239.9,101495.59,91367.745,0,0,1,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Moncton,NB,45016.0,93603.0,69309.5,1,0,1,0,0
Business and Technical Analysts,indikor.com,Remote,Undef,64123.59,86600.0,75361.795,1,0,0,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Mount Pearl,NL,45016.0,93603.0,69309.5,1,0,1,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Milton,ON,45016.0,93603.0,69309.5,1,0,1,0,0
Systems and Data Analysts,Canadian Institute for Health Information,Ottawa,ON,76000.0,89440.0,82720.0,0,1,0,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Boucherville,QC,45016.0,93603.0,69309.5,1,0,1,0,0
Senior Data Analysts,PartnerRe,Toronto,ON,69000.0,86000.0,77500.0,1,0,0,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Woodstock,ON,45016.0,93603.0,69309.5,1,0,1,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Ottawa,ON,45016.0,93603.0,69309.5,1,0,1,0,0
Senior Business Analysts,Healthcare of Ontario Pension Plan (HOOPP),Toronto,ON,30240.56,57200.0,43720.28,1,0,0,0,0
Systems and Data Analysts,Longo's,Vaughan,ON,30240.56,57200.0,43720.28,0,0,1,0,0
Senior Supply Chain Data Analysts,Canadian Tire Corporation,Mississauga,ON,30240.56,57200.0,43720.28,1,0,1,1,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Kelowna,BC,45016.0,93603.0,69309.5,1,0,1,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Lakeside,NS,45016.0,93603.0,69309.5,1,0,1,0,0
Business and Marketing Analysts,TC Energy,Calgary,AB,65000.0,87000.0,76000.0,0,0,0,0,0
Senior Supply Chain Data Analysts,PartnerRe,Toronto,ON,68500.0,87000.0,77750.0,1,0,0,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Mississauga,ON,45016.0,93603.0,69309.5,1,0,1,0,0
Senior Supply Chain Data Analysts,Canadian Tire Corporation,Toronto,ON,30240.56,57200.0,43720.28,1,0,1,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Winnipeg,MB,45016.0,93603.0,69309.5,1,0,1,0,0
Business and Marketing Analysts,CIBC,Toronto,ON,65000.0,87000.0,76000.0,0,0,1,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Regina,SK,45016.0,93603.0,69309.5,1,0,1,0,0
Senior Business Intelligence Analysts,RSM US LLP,Vancouver,BC,63800.0,76125.0,69962.5,1,0,1,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Victoria,BC,45016.0,93603.0,69309.5,1,0,1,0,0
Database Analysts,University of British Columbia,Vancouver,BC,30240.56,57200.0,43720.28,1,0,1,1,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Port Coquitlam,BC,45016.0,93603.0,69309.5,1,0,1,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Toronto,ON,45016.0,93603.0,69309.5,1,0,1,0,0
Financial and Operational Analysts,BMO Financial Group,Toronto,ON,37500.0,69500.0,53500.0,0,0,0,0,0
Senior Business Intelligence Analysts,Stir Consulting Inc.,MontrÃƒÂ©al,QC,104000.0,104000.0,104000.0,1,1,0,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Thunder Bay,ON,45016.0,93603.0,69309.5,1,0,1,0,0
Senior Business Analysts,Viv Technologies Inc.,Remote in Toronto,ON,66000.0,84500.0,75250.0,0,0,0,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Calgary,AB,45016.0,93603.0,69309.5,1,0,1,0,0
Senior Supply Chain Data Analysts,District of Squamish,Squamish,BC,87734.4,87734.4,87734.4,0,0,0,0,0
Financial and Operational Analysts,SYSCO FOOD SERVICES,Remote in Edmonton,AB,45016.0,93603.0,69309.5,1,0,1,0,0
Business and Technical Analysts,Scotiabank,Toronto,ON,64123.59,86600.0,75361.795,0,0,0,0,0
Senior Business Intelligence Analysts,Panasonic Corporation,Mississauga,ON,68000.0,88300.0,78150.0,0,0,1,0,0
Senior Supply Chain Data Analysts,Atlantis IT group,Toronto,ON,68500.0,87000.0,77750.0,0,0,0,0,0
Database Analysts,TEI Web Solutions,North Vancouver,BC,79040.0,81120.0,80080.0,0,0,0,0,0
Senior Supply Chain Data Analysts,Loblaw Companies Limited,Brampton,ON,68500.0,87000.0,77750.0,0,0,0,0,0
Business and Marketing Analysts,Toronto Hydro,Toronto,ON,65000.0,87000.0,76000.0,1,1,0,1,0
Senior Supply Chain Data Analysts,Royal Bank of Canada,Toronto,ON,68500.0,87000.0,77750.0,0,0,0,0,0
Senior Business Analysts,Arc'teryx,North Vancouver,BC,80000.0,100000.0,90000.0,0,0,1,0,0
Senior Supply Chain Data Analysts,Desjardins,MontrÃƒÂ©al,QC,68500.0,87000.0,77750.0,0,0,0,0,0
Senior Business Analysts,Port of Vancouver,Vancouver,BC,66000.0,84500.0,75250.0,0,0,1,0,0
Senior Business Intelligence Analysts,Canadian Institute for Health Information,Toronto,ON,68000.0,88300.0,78150.0,0,1,0,0,0
Senior Business Intelligence Analysts,Scotiabank,Toronto,ON,68000.0,88300.0,78150.0,1,0,1,0,0
Senior Supply Chain Data Analysts,Vancouver Fraser Port Authority,Vancouver,BC,68500.0,87000.0,77750.0,0,0,1,0,0
Senior Business Intelligence Analysts,Parkland Corporation,Calgary,AB,68000.0,88300.0,78150.0,1,1,1,1,0
Senior Business Intelligence Analysts,Gowling WLG,Toronto,ON,54000.0,75000.0,64500.0,1,0,1,0,0
Senior Business Intelligence Analysts,Allstate,Remote in South Dundas,ON,68000.0,88300.0,78150.0,0,0,1,1,0
Senior Business Intelligence Analysts,Gowling WLG,Hamilton,ON,54000.0,75000.0,64500.0,1,0,1,0,0
Senior Business Analysts,Foilcon,Toronto,ON,66000.0,84500.0,75250.0,1,0,0,0,0
Senior Business Intelligence Analysts,Gowling WLG,Ottawa,ON,54000.0,75000.0,64500.0,1,0,1,0,0
Senior Business Intelligence Analysts,Royal Bank of Canada,Toronto,ON,68000.0,88300.0,78150.0,1,1,0,1,0
Senior Business Intelligence Analysts,Gowling WLG,Waterloo,ON,54000.0,75000.0,64500.0,1,0,1,0,0
Senior Business Intelligence Analysts,Gowling WLG,Calgary,AB,54000.0,75000.0,64500.0,1,0,1,0,0
Senior Business Analysts,Northbridge Financial Corporation,Toronto,ON,66000.0,84500.0,75250.0,0,0,0,0,0
Senior Business Intelligence Analysts,Egon Zehnder,MontrÃƒÂ©al,QC,68000.0,88300.0,78150.0,0,0,0,0,0
Senior Business Intelligence Analysts,Gowling WLG,Vancouver,BC,54000.0,75000.0,64500.0,1,0,1,0,0
Senior Supply Chain Data Analysts,SAIT,Calgary,AB,65000.0,85000.0,75000.0,0,0,1,0,0
Financial and Operational Analysts,Corby Spirit and Wine Limited,Toronto,ON,50000.0,76458.0,63229.0,0,0,1,0,0
Senior Business Intelligence Analysts,Purolator,Mississauga,ON,68000.0,88300.0,78150.0,0,0,1,0,0
Senior Business Intelligence Analysts,PCL Construction,Edmonton,AB,68000.0,88300.0,78150.0,0,0,1,1,0
Systems and Data Analysts,UniUni (Uni Express Inc.),Remote,Undef,70000.0,90000.0,80000.0,1,0,0,0,0
Senior Data Analysts,Bell,Toronto,ON,69000.0,86000.0,77500.0,1,0,0,0,0
Business and Marketing Analysts,TripNinja,Remote,Undef,80000.0,90000.0,85000.0,1,0,0,0,0
Senior Data Analysts,Scene+,Toronto,ON,69000.0,86000.0,77500.0,1,1,0,1,0
Senior Supply Chain Data Analysts,Silver Gold Bull Inc.,Calgary,AB,65000.0,120000.0,92500.0,1,0,1,0,0
Senior Business Intelligence Analysts,University of Toronto,Toronto,ON,30240.56,84813.0,57526.78,1,1,1,0,0
Senior Supply Chain Data Analysts,CHEO,Ottawa,ON,72883.2,89440.0,81161.6,1,0,1,0,0
Senior Business Intelligence Analysts,Turner & Townsend,Toronto,ON,68000.0,88300.0,78150.0,0,0,0,0,0
Senior Business Intelligence Analysts,L3Harris Technologies,Waterdown,ON,68000.0,88300.0,78150.0,1,0,1,0,0
Senior Data Analysts,Shared Health,Winnipeg,MB,30240.56,57200.0,43720.28,0,0,0,0,0
Business and Marketing Analysts,Teleperformance,Toronto,ON,65000.0,87000.0,76000.0,1,0,1,0,0
Senior Supply Chain Data Analysts,Saskatchewan Blue Cross,Saskatoon,SK,68500.0,87000.0,77750.0,0,0,1,0,0
Systems and Data Analysts,i3 Energy Canada Ltd.,Calgary,AB,76000.0,89440.0,82720.0,0,0,0,0,0
Business and Marketing Analysts,Scotiabank,Toronto,ON,65000.0,87000.0,76000.0,1,0,0,0,0
Business Systems Analysts,Northwestel Inc.,Whitehorse,YT,85816.8,91520.0,88668.4,0,1,0,0,0
Business and Marketing Analysts,Atlantis IT group,Toronto,ON,65000.0,87000.0,76000.0,0,0,0,0,0
Business and Marketing Analysts,Relay Financial,Toronto,ON,65000.0,87000.0,76000.0,0,0,0,0,0
Senior Business Intelligence Analysts,Canadian Medical Protective Association,Remote in Ottawa,ON,68000.0,91000.0,79500.0,0,0,1,0,0
Senior Data Analysts,EDC,Ottawa,ON,37440.0,180000.0,108720.0,1,1,0,0,0
Business and Marketing Analysts,Town of Okotoks,Okotoks,AB,65000.0,87000.0,76000.0,0,0,0,0,0
Financial and Operational Analysts,GraingerCanada,Thornhill,ON,30240.56,57200.0,43720.28,1,0,0,0,0
Business Systems Analysts,Zortech Solutions,Toronto,ON,120000.0,130000.0,125000.0,1,0,0,0,0
Database Analysts,R.E. ROYAL TRADING INC.,Concord,ON,88524.8,88524.8,88524.8,0,0,0,0,0
Business Systems Analysts,Esolutions,Toronto,ON,95000.0,105000.0,100000.0,1,0,0,0,0
Senior Supply Chain Data Analysts,Elk Valley Resources,Sparwood,BC,82000.0,101000.0,91500.0,0,0,1,0,0
Senior Supply Chain Data Analysts,Cardinal Health,Vaughan,ON,68500.0,87000.0,77750.0,0,0,1,1,0
Senior Business Intelligence Analysts,BC Financial Services Authority,Vancouver,BC,87872.0,136815.0,112343.5,0,0,0,0,0
Senior Supply Chain Data Analysts,Mackenzie Financial Corporation,Greater Toronto Area,ON,30240.56,57200.0,43720.28,0,0,0,0,0
Senior Supply Chain Data Analysts,Northwestel Inc.,Yellowknife,NT,68500.0,87000.0,77750.0,1,0,1,0,0
Senior Supply Chain Data Analysts,Enverus,Calgary,AB,68500.0,87000.0,77750.0,1,1,0,0,0
Senior Business Analysts,RealDecoy,Ottawa,ON,66000.0,84500.0,75250.0,1,1,0,1,0
Senior Business Intelligence Analysts,Toronto and Region Conservation Authority (TRCA),Concord,ON,76294.4,88420.8,82357.6,0,1,1,0,0
Financial and Operational Analysts,CGI,Toronto,ON,50000.0,76458.0,63229.0,0,0,0,0,0
Senior Business Intelligence Analysts,Western University,London,ON,68000.0,88300.0,78150.0,0,0,1,0,0
Senior Business Analysts,EQ Bank | Equitable Bank,Toronto,ON,30240.56,57200.0,43720.28,1,1,0,1,0
Senior Business Analysts,Fraser Health,Surrey,BC,79289.59999999999,113984.0,96636.8,0,0,0,0,0
Senior Supply Chain Data Analysts,Equitable CA,Waterloo,ON,68500.0,87000.0,77750.0,0,0,0,0,0
Business Systems Analysts,Rubinza Inc.,Richmond Hill,ON,90064.0,90064.0,90064.0,0,0,0,0,0
Business and Technical Analysts,Senators Sports & Entertainment,Ottawa,ON,64123.59,86600.0,75361.795,0,0,1,0,0
Business Systems Analysts,APITable Ltd.,Markham,ON,91520.0,91520.0,91520.0,0,0,0,0,0
Senior Business Intelligence Analysts,Spectra Aluminum Products,Bradford,ON,68000.0,88300.0,78150.0,0,0,0,1,0
Financial and Operational Analysts,Ventura Foods,Etobicoke,ON,50000.0,76458.0,63229.0,0,0,1,0,0
Business Systems Analysts,Gold Valley Daycare & Osc,Leduc,AB,98009.6,98009.6,98009.6,0,0,0,0,0
Business and Technical Analysts,Apotex Inc.,North York,ON,64123.59,86600.0,75361.795,0,0,1,0,0
Business Systems Analysts,The Maples Group (Financial Services),MontrÃƒÂ©al,QC,85816.8,91520.0,88668.4,0,0,1,0,0
Financial and Operational Analysts,SGS,Mississauga,ON,50000.0,76458.0,63229.0,0,0,1,0,0
Business Systems Analysts,City of London,London,ON,58649.0,85218.0,71933.5,0,0,0,0,0
Business and Technical Analysts,BC Public Service,Victoria,BC,76071.18,86658.48,81364.82999999999,0,0,0,1,0
Financial and Operational Analysts,Pratts Food Service Alberta,Rocky View County,AB,47266.4,64725.92,55996.16,1,0,1,1,0
Senior Business Analysts,Canadian Cancer Society,Ottawa,ON,56000.0,84000.0,70000.0,0,0,1,0,0
Senior Business Analysts,Canadian Cancer Society,Toronto,ON,56000.0,84000.0,70000.0,0,0,1,0,0
Business and Technical Analysts,Loblaw Companies Limited,Brampton,ON,64123.59,86600.0,75361.795,1,1,1,1,0
Senior Business Analysts,Canadian Cancer Society,Halifax,NS,56000.0,84000.0,70000.0,0,0,1,0,0
Senior Business Analysts,Scotiabank,Toronto,ON,66000.0,84500.0,75250.0,0,0,0,0,0
Senior Business Intelligence Analysts,WSP,MontrÃƒÂ©al,QC,68000.0,88300.0,78150.0,0,0,1,0,0
Senior Business Analysts,Canadian Cancer Society,Calgary,AB,56000.0,84000.0,70000.0,0,0,1,0,0
Senior Business Analysts,Allstate,Remote in Markham,ON,85000.0,133750.0,109375.0,0,1,0,0,0
Senior Business Analysts,Canadian Cancer Society,Vancouver,BC,56000.0,84000.0,70000.0,0,0,1,0,0
Senior Data Analysts,eHealth Saskatchewan,Regina,SK,74152.0,90272.0,82212.0,1,0,0,0,0
Senior Data Analysts,Sri Technosoft Solutions,Edmonton,AB,69000.0,86000.0,77500.0,1,1,0,1,0
Senior Business Analysts,Canadian Cancer Society,Victoria,BC,56000.0,84000.0,70000.0,0,0,1,0,0
Business and Technical Analysts,Desjardins,MontrÃƒÂ©al,QC,64123.59,86600.0,75361.795,0,0,0,0,0
Business Systems Analysts,Tecqify Solutions Inc,Abbotsford,BC,97760.0,97760.0,97760.0,0,0,0,0,0
Business and Marketing Analysts,BMO Financial Group,Toronto,ON,60000.0,111700.0,85850.0,1,0,0,0,0
Systems and Data Analysts,Niagara Health System,St. Catharines,ON,83449.59999999999,94411.2,88930.4,0,0,0,0,0
Business Systems Analysts,Sobeys,Mississauga,ON,85816.8,91520.0,88668.4,0,0,0,0,0
Database Analysts,AG IT Consulting,Concord,ON,91520.0,91520.0,91520.0,0,0,0,0,0
Senior Supply Chain Data Analysts,Vista,Lakeshore,ON,68500.0,87000.0,77750.0,1,0,1,1,0
Senior Supply Chain Data Analysts,Affirm,Remote in Toronto,ON,109000.0,159000.0,134000.0,1,1,0,0,0
Senior Business Intelligence Analysts,Eastern Health Canada,Remote,Undef,68515.2,76440.0,72477.6,0,0,0,0,0
Business and Marketing Analysts,Tekshapers Inc,Toronto,ON,100000.0,100000.0,100000.0,1,0,0,0,0
Senior Business Intelligence Analysts,"Raymond James Financial, Inc.",Vancouver,BC,70000.0,90000.0,80000.0,1,0,1,0,0
Senior Business Intelligence Analysts,Buckland,St. Thomas,ON,68000.0,88300.0,78150.0,1,1,0,0,0
Senior Supply Chain Data Analysts,Growers First,York,ON,60000.0,75000.0,67500.0,0,0,1,0,0
Business Systems Analysts,St. Paul Education,St. Paul,AB,30240.56,57200.0,43720.28,0,0,0,0,0
Senior Business Analysts,Mastercard,Toronto,ON,66000.0,84500.0,75250.0,0,0,0,0,0
Business and Marketing Analysts,"NRI Industrial Sales, LLC.",Mississauga,ON,80000.0,80000.0,80000.0,0,0,0,0,0
Senior Supply Chain Data Analysts,Agriculture Financial Services Corporation,Lacombe,AB,75715.0,100652.0,88183.5,0,0,0,0,0
Senior Business Analysts,Canadian Institute for Health Information,Ottawa,ON,66000.0,84500.0,75250.0,0,1,1,0,0
